"ID","X","Y","City","Date Collected","Nightly Price","Monthly Price","Neighborhood","Room Type","Street","Units","URL","User URL"
"air1562375",-90.067699521516,29.956569500034,"New Orleans","2015-08-13T19:34:50.944Z",1000,28000,"French Quarter","Entire home/apt","Bourbon Street",2,"http://airbnb.com/rooms/1562375","http://airbnb.com/users/show/4634181"
"air2304592",-90.067284022772,29.957694304833,"New Orleans","2015-09-01T06:15:01.536Z",150,4200,"French Quarter","Entire home/apt","Bourbon Street",1,"http://airbnb.com/rooms/2304592","http://airbnb.com/users/show/11769982"
"air1709238",-90.067581762793,29.959709911997,"New Orleans","2015-09-01T06:15:01.536Z",185,2200,"French Quarter","Entire home/apt","Saint Peter Street",1,"http://airbnb.com/rooms/1709238","http://airbnb.com/users/show/2466376"
"air2651938",-90.058751191387,29.962396148744,"New Orleans","2015-09-01T06:15:01.536Z",225,6300,"French Quarter","Entire home/apt","Dumaine Street",1,"http://airbnb.com/rooms/2651938","http://airbnb.com/users/show/11769982"
"air2432320",-90.058129083622,29.963165919235,"New Orleans","2015-09-01T06:15:01.536Z",155,4340,"MarignyBywater","Entire home/apt","Chartres Street",1,"http://airbnb.com/rooms/2432320","http://airbnb.com/users/show/5310703"
"air2703160",-90.057864163599,29.969771109066,"New Orleans","2015-08-13T19:34:50.944Z",135,3780,"Seventh Ward","Entire home/apt","Saint Claude Avenue",1,"http://airbnb.com/rooms/2703160","http://airbnb.com/users/show/5319473"
"air2893807",-90.054497713023,29.967708820393,"New Orleans","2015-09-01T06:15:01.536Z",170,2000,"MarignyBywater","Entire home/apt","Burgundy Street",1,"http://airbnb.com/rooms/2893807","http://airbnb.com/users/show/14790337"
"air4254946",-90.048986835335,29.966116629544,"New Orleans","2015-09-01T06:15:01.536Z",150,2500,"MarignyBywater","Entire home/apt","Saint Ferdinand Street",1,"http://airbnb.com/rooms/4254946","http://airbnb.com/users/show/1363569"
"air3027479",-90.038232342997,29.968255121285,"New Orleans","2015-09-01T06:15:01.536Z",50,2000,"St ClaudeSt Roch","Private room","Congress Street",1,"http://airbnb.com/rooms/3027479","http://airbnb.com/users/show/13126296"
"air900285",-90.045061983001,29.964425770858,"New Orleans","2015-09-01T06:15:01.536Z",175,4900,"MarignyBywater","Entire home/apt","North Rampart Street",1,"http://airbnb.com/rooms/900285","http://airbnb.com/users/show/4807420"
